specimen,smax,ds,Nf,runout,gauge_failure,porosity_pct,sqrt_area_gauge_um,flatness_median
P002,450.0,405.0,15160,0,1,0.6533938907816471,,
P003,300.0,270.0,339429,0,1,0.06961745695228323,,
P004,450.0,405.0,74110,0,0,0.06342849141952052,,
P005,300.0,270.0,392470,0,0,0.05735480565543917,,
P006,450.0,405.0,72340,0,1,0.05781328870866006,,
P007,300.0,270.0,342510,0,1,0.06723239510562082,345.0,0.305
P008,450.0,405.0,69573,0,0,0.06908577457619057,385.0,0.31
P009,300.0,270.0,282450,0,1,0.2665341871698734,,
P010,300.0,270.0,170540,0,0,0.5710283207575844,,
P011,450.0,405.0,80607,0,0,0.08203512993157043,,
P012,300.0,270.0,436876,0,1,0.06713514411883476,,
P013,450.0,405.0,124285,0,0,0.05956949382561525,,
P014,300.0,270.0,699421,0,1,0.05478765096368068,,
P015,450.0,405.0,81400,0,1,0.06496762467456832,,
P016,300.0,270.0,360052,0,1,0.0649084308153473,431.0,0.3
P017,450.0,405.0,18803,0,1,0.27431657522713243,1017.0,0.18
P019,300.0,270.0,738588,0,1,0.01727503655649028,,
P020,450.0,405.0,159974,0,1,0.021041856738663888,,
P021,300.0,270.0,380219,0,1,0.012380779206412302,,
P022,450.0,405.0,167979,0,1,0.009541517314927896,,
P023,300.0,270.0,1094051,0,1,0.010680865257144396,200.0,0.56
P025,300.0,270.0,420016,0,0,0.013248654946848192,,
P026,300.0,270.0,119899,0,1,0.4665605866812653,,
P027,450.0,405.0,120955,0,1,0.020606773763427365,367.0,0.47
P028,300.0,270.0,726741,0,1,0.015108688940486567,,
P029,450.0,405.0,211183,0,1,0.011980963158661533,,
P030,300.0,270.0,666316,0,0,0.014703245047084037,,
P031,450.0,405.0,24210,0,0,0.013318197928877826,,
P032,300.0,270.0,873053,0,1,0.012080954505932582,349.0,0.535
P033,450.0,405.0,45986,0,0,0.02183151663767811,,
P035,450.0,405.0,17194,0,1,0.5495242148299648,,
P036,300.0,270.0,461662,0,1,0.02483149428090371,,
P037,450.0,405.0,106528,0,0,0.016396291857826734,325.0,0.47
P038,300.0,270.0,417291,0,1,0.0175524244761887,,
P039,450.0,405.0,58088,0,1,0.014062537362177658,,
P040,300.0,270.0,507374,0,1,0.02716568728397238,,
P041,450.0,405.0,43046,0,0,0.045639322244689556,,
P042,300.0,270.0,156149,0,1,0.13820191135069315,,
P044,450.0,405.0,77038,0,0,0.028952339517025482,,
P045,300.0,270.0,436285,0,1,0.019793572760172056,267.0,0.47
P046,450.0,405.0,90935,0,1,0.020316448734881688,457.0,0.51
P047,300.0,270.0,395479,0,1,0.019128591048940217,,
P048,450.0,405.0,124760,0,1,0.022400555729515315,,
P050,450.0,405.0,51112,0,0,0.18609204559081868,,
P051,450.0,405.0,25996,0,1,0.47348074152651604,749.0,1.5350000000000001
P052,300.0,270.0,10005000,1,0,0.009856711583162764,,
P053,450.0,405.0,90780,0,1,0.009327245097781158,,
P054,300.0,270.0,1082170,0,1,0.006335033377654438,,
P055,450.0,405.0,133014,0,1,0.0059884252935864975,,
P056,300.0,270.0,640228,0,1,0.00576725713284442,416.0,0.56
P057,450.0,405.0,105940,0,1,0.005700782079153722,283.0,0.56
P058,300.0,270.0,1387860,0,0,0.007802439621734411,,
P059,300.0,270.0,269804,0,1,0.5687050719649221,692.0,1.69
P060,450.0,405.0,316498,0,1,0.010150513586455088,,
P061,300.0,270.0,10005000,1,0,0.004926906516064039,,
P062,450.0,405.0,138368,0,1,0.005280011457586345,,
P063,300.0,270.0,10005000,1,0,0.006156614638733328,,
P064,450.0,405.0,159139,0,1,0.004098590684181708,,
P065,300.0,270.0,10005000,1,0,0.0023762889792625246,,
P066,450.0,405.0,129053,0,1,0.00452736002913884,,
