part_id,n_layers,layers_with_flaw,total_flaw_voxels,total_mask_voxels,porosity_pct,peak_flaw_layer,peak_flaw_volume,process_group
P002_S001,1117,176,3542285,542136229,0.6534,642,34484,A_keyhole
P003_S001,1117,132,284493,408651813,0.0696,543,9126,B_spatter
P004_S001,1117,137,265989,419352556,0.0634,601,4970,B_spatter
P005_S001,1117,176,310344,541095025,0.0574,545,15011,B_spatter
P006_S001,1117,151,268437,464317125,0.0578,658,8718,B_spatter
P007_S001,1117,150,308378,458674720,0.0672,525,7528,B_spatter
P008_S001,1117,140,295136,427202274,0.0691,636,9366,B_spatter
P009_S001,1117,138,1119024,419842577,0.2665,578,26072,B_spatter
P010_S001,1117,133,2325051,407169122,0.571,639,29978,A_keyhole
P011_S001,1117,136,344326,419729938,0.082,564,16825,B_spatter
P012_S001,1117,151,309689,461291927,0.0671,539,7791,B_spatter
P013_S001,1117,162,294995,495211527,0.0596,524,6288,B_spatter
P014_S001,1117,151,253906,463436551,0.0548,667,6293,B_spatter
P015_S001,1117,137,271310,417608003,0.065,581,9312,B_spatter
P016_S001,1117,137,272564,419920797,0.0649,599,8458,B_spatter
P017_S001,1117,138,1150015,419229133,0.2743,644,34730,B_spatter
P018_S001,1117,135,1964389,414717830,0.4737,590,29860,A_keyhole
P019_S001,1117,128,68016,393724203,0.0173,637,2768,C_clean
P020_S001,1117,147,95358,453182441,0.021,539,2859,C_clean
P021_S001,1117,136,54172,437549197,0.0124,587,2579,C_clean
P022_S001,1117,132,40957,429250387,0.0095,566,1527,C_clean
P023_S001,1117,127,44875,420143864,0.0107,561,3656,C_clean
P024_S001,1117,143,69803,454128387,0.0154,591,3850,C_clean
P025_S001,1117,167,70922,535314719,0.0132,679,2239,C_clean
P026_S000,1117,1116,16103793,3451597383,0.4666,472,26983,A_keyhole
P027_S001,1117,128,81610,396034823,0.0206,556,3171,C_clean
P028_S001,1117,165,80264,531243977,0.0151,653,3330,C_clean
P029_S001,1117,127,49578,413806464,0.012,537,3306,C_clean
P030_S001,1117,142,66934,455232840,0.0147,629,4143,C_clean
P031_S001,1117,131,57240,429787876,0.0133,628,4327,C_clean
P032_S001,1117,126,50695,419627439,0.0121,586,2080,C_clean
P033_S001,1117,134,93045,426195768,0.0218,541,4935,C_clean
P035_S001,1117,151,2572297,468095296,0.5495,592,28413,A_keyhole
P036_S001,1117,135,102724,413684327,0.0248,629,3877,C_clean
P037_S001,1117,148,77196,470813771,0.0164,578,2084,C_clean
P038_S001,1117,133,74184,422642468,0.0176,628,6056,C_clean
P039_S001,1117,131,58763,417869112,0.0141,640,2105,C_clean
P040_S001,1117,135,115308,424461928,0.0272,642,5180,C_clean
P041_S001,1117,173,244143,534940021,0.0456,564,10594,C_clean
P042_S001,1117,137,576448,417105664,0.1382,608,18913,B_spatter
P043_S001,1117,136,2113391,421107433,0.5019,634,28961,A_keyhole
P044_S001,1117,149,133135,459841941,0.029,589,7627,C_clean
P045_S001,1117,144,91120,460351454,0.0198,630,5745,C_clean
P046_S001,1117,134,85286,419787932,0.0203,580,4177,C_clean
P047_S001,1117,131,84445,441459592,0.0191,628,3777,C_clean
P048_S001,1117,146,103183,460626965,0.0224,604,2811,C_clean
P049_S001,1117,134,187422,418276367,0.0448,624,8201,C_clean
P050_S001,1117,156,888310,477349796,0.1861,652,22302,B_spatter
P051_S001,1117,160,2322125,490437054,0.4735,618,20255,A_keyhole
P052_S001,1117,124,41037,416335607,0.0099,574,1869,C_clean
P053_S001,1117,136,43022,461250879,0.0093,588,2968,C_clean
P054_S001,1117,126,29317,462775778,0.0063,664,1675,C_clean
P055_S001,1117,130,29054,485169282,0.006,555,1445,C_clean
P056_S001,1117,125,28667,497064711,0.0058,537,1477,C_clean
P057_S001,1117,133,30567,536189589,0.0057,668,1479,C_clean
P058_S001,1117,98,32562,417331009,0.0078,606,3366,C_clean
P059_S001,1117,151,2628448,462181213,0.5687,591,29297,A_keyhole
P060_S001,1117,126,42826,421909686,0.0102,588,7122,C_clean
P061_S001,1117,136,26136,530474851,0.0049,629,2758,C_clean
P062_S001,1117,115,24674,467309592,0.0053,629,2655,C_clean
P063_S001,1117,103,28593,464427314,0.0062,589,12890,C_clean
P064_S001,1117,85,17273,421437546,0.0041,629,3365,C_clean
P065_S001,1117,100,10787,453943106,0.0024,539,1421,C_clean
P066_S001,1117,94,19112,422144470,0.0045,556,2618,C_clean
