cylinder,process_group,n_defects,pred_flaw_vox,pred_flaw_vox_scaled,aop24_flaw_vox,aop24_porosity_pct,largest_vol_mm3,largest_sqrt_area_um
P007,B_spatter,327,46105,184420,308378,0.0672,0.056968,707.1
P008,B_spatter,319,42774,171096,295136,0.0691,0.037355,611.2
P016,B_spatter,330,45742,182968,272564,0.0649,0.043787,655.9
P017,B_spatter,581,146434,585736,1150015,0.2743,0.152463,1049.0
P023,C_clean,94,9126,36504,44875,0.0107,0.018472,429.8
P027,C_clean,175,16472,65888,81610,0.0206,0.0205,412.5
P032,C_clean,106,10248,40992,50695,0.0121,0.017204,414.8
P037,C_clean,137,13745,54980,77196,0.0164,0.010551,324.8
P045,C_clean,141,15351,61404,91120,0.0198,0.024809,498.1
P046,C_clean,135,15343,61372,85286,0.0203,0.02671,516.8
P051,A_keyhole,5957,534308,2137232,2322125,0.4735,0.067582,821.3
P056,C_clean,76,6942,27768,28667,0.0058,0.017299,415.9
P057,C_clean,72,6630,26520,30567,0.0057,0.017331,416.3
P059,A_keyhole,5721,535659,2142636,2628448,0.5687,0.080414,859.9
