cylinder,defect_id,voxels,volume_mm3,equiv_diam_um,sqrt_area_um,z_ext_um,y_ext_um,x_ext_um,flatness
P007,137,1798,0.05696783200000001,477.4,707.1,500.0,836.6,1335.0,0.37
P007,11,1223,0.03874953200000001,419.8,593.3,500.0,925.6,587.4,0.54
P007,86,1117,0.035391028,407.3,594.9,100.0,676.4,801.0,0.12
P007,328,1005,0.03184242,393.3,564.3,100.0,623.0,979.0,0.1
P007,228,953,0.030194852,386.3,549.5,100.0,747.6,694.2,0.13
P007,326,894,0.028325496000000002,378.2,532.2,100.0,623.0,712.0,0.14
P007,237,746,0.023636264000000004,356.1,486.2,100.0,623.0,498.4,0.16
P007,291,740,0.02344616,355.1,484.2,100.0,534.0,979.0,0.1
P007,253,727,0.023034268000000004,353.0,479.9,100.0,569.6,623.0,0.16
P007,2,600,0.0190104,331.1,399.2,500.0,498.4,534.0,0.94
P007,13,593,0.018788612,329.8,433.5,100.0,480.6,658.6,0.15
P007,284,580,0.01837672,327.4,428.7,100.0,498.4,498.4,0.2
P007,198,578,0.018313352,327.0,427.9,100.0,498.4,551.8,0.18
P007,275,571,0.018091564,325.7,425.3,100.0,569.6,480.6,0.18
P007,296,561,0.017774724000000002,323.8,421.6,100.0,551.8,445.0,0.18
P007,33,539,0.017077676,319.5,413.3,100.0,551.8,445.0,0.18
P007,69,526,0.016665784000000003,316.9,408.2,100.0,462.8,623.0,0.16
P007,23,515,0.01631726,314.7,403.9,100.0,516.2,462.8,0.19
P007,74,504,0.015968736,312.4,369.5,500.0,445.0,516.2,0.97
P007,325,464,0.014701376,303.9,383.4,100.0,462.8,551.8,0.18
P007,213,411,0.013022124,291.9,360.9,100.0,338.2,605.2,0.17
P007,20,392,0.012420128000000002,287.3,352.4,100.0,427.2,480.6,0.21
P007,7,392,0.012420128000000002,287.3,352.4,100.0,356.0,498.4,0.2
P007,133,385,0.01219834,285.6,317.9,500.0,373.8,498.4,1.0
