specimen,sigma_max_MPa,Nf_measured,section_defects,largest_sqrt_area_um,material_points,events,bonds_broken,stiffness_final,a2_initial_um,a2_final_um,delta_a_um,plane_z_mm,stopped_by
SN_P007,300,342510,4,379.5,52428,200,285,0.993,400,520,120,8.56,steps
SN_P008,450,69573,5,415.7,48489,200,280,0.9891,480,600,120,13.36,steps
SN_P016,300,360052,8,398.0,48349,200,292,0.971,280,600,320,6.96,steps
SN_P017,450,18803,22,947.4,47113,200,274,0.965,1560,1840,280,2.2,steps
SN_P023,300,1094051,1,268.3,48723,200,297,0.9952,200,280,80,6.8,steps
SN_P027,450,120955,11,767.3,44844,200,284,0.9905,440,440,0,10.24,steps
SN_P032,300,873053,4,339.4,47258,200,287,0.9937,320,440,120,7.0,steps
SN_P037,450,106528,3,379.5,53663,200,291,0.9924,400,520,120,14.56,steps
SN_P045,300,436285,3,339.4,52482,200,285,0.9939,320,440,120,13.36,steps
SN_P046,450,90935,1,449.0,48642,200,284,0.9882,560,680,120,13.36,steps
SN_P051,450,25996,31,575.5,53720,200,281,0.9824,920,1120,200,8.56,steps
SN_P056,300,640228,3,432.7,54943,200,284,0.992,520,640,120,6.16,steps
SN_P057,450,105940,1,317.5,57665,200,287,0.9946,280,360,80,2.4,steps
SN_P059,300,269804,29,633.7,51060,200,281,0.9486,760,1040,280,4.56,steps
